Full URL,Stripped URL,Level
https://uedayou.net/loa/神奈川県鎌倉市.json,,0
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎,神奈川県鎌倉市稲村ガ崎,1
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎1丁目,神奈川県鎌倉市稲村ガ崎1丁目,2
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎2丁目,神奈川県鎌倉市稲村ガ崎2丁目,2
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎3丁目,神奈川県鎌倉市稲村ガ崎3丁目,2
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎4丁目,神奈川県鎌倉市稲村ガ崎4丁目,2
https://uedayou.net/loa/神奈川県鎌倉市稲村ガ崎5丁目,神奈川県鎌倉市稲村ガ崎5丁目,2
https://uedayou.net/loa/神奈川県鎌倉市岡本,神奈川県鎌倉市岡本,1
https://uedayou.net/loa/神奈川県鎌倉市岡本1丁目,神奈川県鎌倉市岡本1丁目,2
https://uedayou.net/loa/神奈川県鎌倉市岡本2丁目,神奈川県鎌倉市岡本2丁目,2
https://uedayou.net/loa/神奈川県鎌倉市梶原,神奈川県鎌倉市梶原,1
https://uedayou.net/loa/神奈川県鎌倉市梶原1丁目,神奈川県鎌倉市梶原1丁目,2
https://uedayou.net/loa/神奈川県鎌倉市梶原2丁目,神奈川県鎌倉市梶原2丁目,2
