Full URL,Stripped URL,Level
https://uedayou.net/loa/神奈川県横浜市戸塚区,,0
https://uedayou.net/loa/神奈川県横浜市戸塚区影取町,神奈川県横浜市戸塚区影取町,1
https://uedayou.net/loa/神奈川県横浜市戸塚区下倉田町,神奈川県横浜市戸塚区下倉田町,1
https://uedayou.net/loa/神奈川県横浜市戸塚区吉田町,神奈川県横浜市戸塚区吉田町,1
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢,神奈川県横浜市戸塚区汲沢,1
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢1丁目,神奈川県横浜市戸塚区汲沢1丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢2丁目,神奈川県横浜市戸塚区汲沢2丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢3丁目,神奈川県横浜市戸塚区汲沢3丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢4丁目,神奈川県横浜市戸塚区汲沢4丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢5丁目,神奈川県横浜市戸塚区汲沢5丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢6丁目,神奈川県横浜市戸塚区汲沢6丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢7丁目,神奈川県横浜市戸塚区汲沢7丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢8丁目,神奈川県横浜市戸塚区汲沢8丁目,2
https://uedayou.net/loa/神奈川県横浜市戸塚区汲沢町,神奈川県横浜市戸塚区汲沢町,1
