id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
1,足柄上郡山北町,足柄上郡山北町皆瀬川,133,,251,,184,,278,,264,,1110
2,足柄上郡山北町,足柄上郡山北町岸,73,,77,,152,,64,,11,,377
3,足柄上郡山北町,足柄上郡山北町向原,157,,91,,220,,6,,185,,659
4,足柄上郡山北町,足柄上郡山北町山北,132,,255,,62,,138,,150,,737
5,足柄上郡山北町,足柄上郡山北町平山,11,,192,,243,,191,,271,,908
6,足柄上郡山北町,足柄上郡山北町玄倉,127,,166,,18,,78,,192,,581
7,足柄上郡松田町,足柄上郡松田町寄,93,,108,,87,,70,,133,,491
8,足柄上郡松田町,足柄上郡松田町松田庶子,201,,32,,82,,149,,268,,732
9,足柄上郡松田町,足柄上郡松田町松田惣領,273,,159,,48,,122,,163,,765
10,足柄上郡松田町,足柄上郡松田町神山,182,,97,,108,,29,,22,,438
11,横浜市戸塚区,横浜市戸塚区影取町,143,,237,,33,,102,,103,,618
12,横浜市戸塚区,横浜市戸塚区下倉田町,117,,181,,62,,126,,32,,518
13,横浜市戸塚区,横浜市戸塚区吉田町,199,,186,,200,,112,,212,,909
14,横浜市戸塚区,横浜市戸塚区汲沢,157,,285,,163,,56,,85,,746
15,横浜市戸塚区,横浜市戸塚区汲沢町,24,,290,,21,,64,,285,,684
16,横浜市戸塚区,横浜市戸塚区原宿,181,,184,,160,,231,,17,,773
17,横浜市戸塚区,横浜市戸塚区戸塚町,286,,33,,188,,160,,28,,695
18,横浜市戸塚区,横浜市戸塚区秋葉町,142,,83,,114,,120,,98,,557
19,横浜市戸塚区,横浜市戸塚区小雀町,279,,65,,178,,98,,128,,748
20,横浜市戸塚区,横浜市戸塚区上倉田町,80,,85,,203,,8,,204,,580
21,横浜市戸塚区,横浜市戸塚区上柏尾町,182,,113,,2,,73,,115,,485
22,横浜市戸塚区,横浜市戸塚区上品濃,161,,212,,236,,96,,291,,996
23,横浜市戸塚区,横浜市戸塚区上矢部町,268,,97,,137,,138,,269,,909
24,横浜市戸塚区,横浜市戸塚区深谷町,231,,20,,81,,68,,115,,515
25,横浜市戸塚区,横浜市戸塚区川上町,153,,148,,274,,230,,292,,1097
26,横浜市戸塚区,横浜市戸塚区前田町,6,,228,,186,,58,,182,,660
27,横浜市戸塚区,横浜市戸塚区鳥が丘,107,,39,,296,,26,,292,,760
28,横浜市戸塚区,横浜市戸塚区東俣野町,186,,276,,247,,48,,258,,1015
29,横浜市戸塚区,横浜市戸塚区南舞岡,255,,23,,90,,176,,48,,592
30,横浜市戸塚区,横浜市戸塚区柏尾町,21,,101,,193,,52,,98,,465
31,横浜市戸塚区,横浜市戸塚区品濃町,190,,300,,10,,50,,32,,582
32,横浜市戸塚区,横浜市戸塚区舞岡町,73,,149,,107,,78,,103,,510
33,横浜市戸塚区,横浜市戸塚区平戸,297,,144,,238,,154,,4,,837
